classification,category_recall_rate
Anesthesiology Devices,1.0
Cardiovascular Devices,1.0
Clinical Chemistry and Clinical Toxicology Devices,1.0
Dental Devices,1.0
"Ear, Nose, and Throat Devices",1.0
Gastroenterology-Urology Devices,1.0
General Hospital and Personal Use Devices,1.0
General and Plastic Surgery Devices,1.0
Hematology and Pathology Devices,1.0
Immunology and Microbiology Devices,1.0
Neurological Devices,1.0
Obstetrical and Gynecological Devices,1.0
Ophthalmic Devices,1.0
Orthopedic Devices,1.0
Physical Medicine Devices,1.0
Radiology Devices,1.0
