manufacturer_id,manufacturer_name,manufacturer_recall_count
1,Abbot Laboratories,1.0
2,Abbott Medical Optics (AMO) Inc.,1.0
3,Alcon Laboratories Inc.,1.0
4,ANADOLU TIP TEKNO.ÜRETİM PAZ.İTH İHRTİC SAN AŞ,1.0
5,ARCHEM SAĞLIK SANAYİ TİCARET LİMİTED ŞİRKETİ,1.0
6,ARKRAY Inc.,1.0
7,Arrow International Inc.,3.0
8,Aspen Medical,1.0
9,B. Braun Melsungen AG,1.0
10,"Beckman Coulter, Inc.",1.0
11,Beckton Dickinson,1.0
12,Becton Dickinson,1.0
13,Becton Dickinson And Company Limited,1.0
14,bioMerieux SA,2.0
15,Biomerieux SA,2.0
16,BioMerieux SA,1.0
17,Biomet Inc.,1.0
18,Biomet Sports Medicine and Trauma,1.0
19,Boston Scientific,1.0
20,Boston Scientific Corporation,1.0
21,Codman US,1.0
22,Cook Incorporated,1.0
23,Cordis a Cardinal Health Company,1.0
24,Cordis Cooperation,1.0
25,Covidien LLC,1.0
26,Covidien LLC.,1.0
27,Fresenius Medical Care AG & Co. KGaA,0.0
28,Greatbatch Medical,1.0
29,"Infopia. Co., Ltd.",1.0
30,International Biophysics Corp.,1.0
31,Intuitive Surgical Inc.,1.0
32,IRIS International,1.0
33,Johnson&Johnson International,1.0
34,Leonhard Lang GmbH,1.0
35,LivaNova Canada Corp.,1.0
36,MED-EL Elektromedizinische Geraete Gmbh,1.0
37,Medivance,1.0
38,Medtronic Inc,2.0
39,Medtronic Inc.,5.0
40,"Micro Therapeutics, Inc.",1.0
41,Micro Vention Inc,1.0
42,NEWDEAL SAS,1.0
43,Oridion Medikal 1987 Ltd.,1.0
44,Oscor Inc,1.0
45,Philips Medical Systems,2.0
46,Radiometer Medical ApS,1.0
47,Richard-Allan Scientific,1.0
48,Sekisiu Diagnostics P.E.I. Inc.,1.0
49,Sequent Medical,1.0
50,Siemens AG,1.0
51,Siemens Healthcare,2.0
52,Siemens Healthcare Diagnostics Inc.,1.0
53,Siemens Healthcare Diagnostics Products Inc.,2.0
54,Siemens Healthineers,3.0
55,Smith & Nephew Inc.,4.0
56,Sorin Group Italia,1.0
57,SP Medical A/S,1.0
58,Stanmore Implants Worldwide Limited,3.0
59,Stryker Endoscopy,1.0
60,Stryker Instruments,1.0
61,Stryker Neurovascular,1.0
62,Synthes GmbH,2.0
63,Teleflex Medical,1.0
64,Terumo Corporation,1.0
65,ThermoFisher Scientific,1.0
66,Trauson Medical Instrument Co. LTD.,1.0
67,TRUMPF MEDIZIN SYSTEME GmbH+Co.KG,1.0
68,Verathon Medical,1.0
69,William Cook Europe ApS,1.0
70,Willy Rüsch GmbH,1.0
71,Zimmer Inc.,1.0
72,3M Canada Company || 3M Health Care,1.0
73,3M Company || 3M Health Care,1.0
74,3M Espe Dental Products || 3M Deutschland Gmbh || 3M Unitek Corporation,1.0
75,3M Health Care,1.0
76,ABBOTT  GMBH  &  CO.  KG  CON  DOMICILIO  EN || ALEMANIA. || Imported by:  ABBOTT  LABORATORIES  DE COLOMBIA S.A,1.0
