device_id,device_name,classification,age_fraction,temperature,vibration,hours_used,failed,true_failure_probability,voltage
53395,Merit Medical Surgical Convenience Kits,General and Plastic Surgery Devices,0.158,25.57,0.22,104.82,0,0.095,
57398,"Device Recall  Stryker Orthobiologics Aliquot Catheter, 6"", Part Number 21100503",Orthopedic Devices,0.597,,2.72,5020.27,0,0.469,213.76
5408,microscan microbiology systems,Immunology and Microbiology Devices,0.552,21.77,,4334.39,0,0.431,212.06
20961,Device Recall  STATCheck,Anesthesiology Devices,0.572,25.89,,6098.64,0,0.444,212.66
13981,"Device Recall  LEGGINGS W/7"" CUFF 30"" x 42""",General Hospital and Personal Use Devices,0.094,20.31,,-256.16,0,0.056,201.42
21832,Device Recall  Compumedics,Neurological Devices,0.109,25.41,-0.05,178.23,0,0.059,199.86
15098,Device Recall  Customed,Orthopedic Devices,0.263,,0.77,902.04,0,0.165,201.77
100136,Corometrics Qwik Connect Plus Spiral Electrode,Obstetrical and Gynecological Devices,0.233,26.24,,885.56,0,0.159,204.25
20633,Candela Smoothbeam Laser System || Model Numbers: 9914-00-0820 || 9914-06-0820 || 9914-07-0820 || 9914-08-0820 || 9914-10-0820 || Units are the same except for color,General and Plastic Surgery Devices,0.084,25.9,0.43,-288.95,0,0.068,
77316,cranial navigation system,Neurological Devices,0.082,24.84,-0.15,493.19,0,0.045,199.32
60024,Device Recall  Ingenia 3.0T,Radiology Devices,0.493,31.15,1.63,5828.33,0,0.368,218.88
19213,Device Recall  PDS Plus Antibacterial monofilament syntheticabsorbable sutures,General and Plastic Surgery Devices,0.4,27.0,0.59,2098.05,0,0.269,
97613,Device Recall  Implant Extraction Set  Implant Extraction Guide Module One & Two,Orthopedic Devices,0.623,,3.41,5459.14,1,0.504,214.53
93470,Device Recall  Practix 160,Radiology Devices,0.318,27.03,0.61,2332.03,0,0.208,214.62
59195,Device Recall  Xray System,Radiology Devices,0.447,29.41,1.34,6031.19,0,0.326,217.03
5640,aisys cs2,Anesthesiology Devices,0.645,29.49,,7272.81,1,0.539,216.76
106965,"Brainlab Spine & Trauma 3D Navigation 1.0 (subpart of the system “Navigation Software Spine & Trauma 3D, Version 3.0”)",Neurological Devices,0.647,31.98,1.73,7368.29,1,0.526,213.8
59638,Device Recall  Fraxel Laser System,General and Plastic Surgery Devices,0.429,27.5,0.9,3638.5,0,0.32,
58565,Device Recall  Zimmer Unicompartmental Knee Femoral Component,Orthopedic Devices,0.328,,0.98,1721.89,0,0.223,204.65
50321,Arrow Percutaneous Sheath Introducer Kits,Cardiovascular Devices,0.357,32.41,0.72,2463.26,0,0.247,204.9
98236,Device Recall  CyberKnife Treatment Planning System,Radiology Devices,0.114,24.48,0.25,943.41,0,0.07,211.02
57460,Device Recall  UltraClean(R) Accessory Electrode 4 inch Coated Blade,General and Plastic Surgery Devices,0.631,31.81,1.58,5948.17,1,0.519,
101969,Proteus 235,Radiology Devices,0.118,24.55,0.17,886.22,0,0.068,210.29
100825,D&C; Laparoscopy Pack,Gastroenterology-Urology Devices,0.766,,2.84,7517.68,1,0.66,220.67
65638,Riata and Riata ST silicone endocardial leads,Cardiovascular Devices,0.281,31.66,0.4,2217.93,0,0.191,204.2
18228,"Device Recall  SMART PERFUSION PACK, LONG PACK",Cardiovascular Devices,0.403,32.66,1.39,3923.07,0,0.305,207.17
16909,Device Recall  Regard,General and Plastic Surgery Devices,0.461,28.15,0.8,2803.88,1,0.328,
52936,CONTAK RENEWAL 4 AVT,Cardiovascular Devices,0.295,31.36,0.33,1770.0,0,0.19,203.75
19519,Device Recall  Draco Enzymatic DeepCleaning Pad,Gastroenterology-Urology Devices,0.263,,0.41,1229.7,0,0.169,201.97
95525,Device Recall  Zimmer Tivanium Self Tapping Screw,Orthopedic Devices,0.357,,0.9,2701.01,0,0.245,204.3
