device_id,device_name,classification,age_fraction,manufacturer_risk_tier,temperature,vibration,hours_used,failed,true_failure_probability,voltage
53395,Merit Medical Surgical Convenience Kits,General and Plastic Surgery Devices,0.158,medium,25.57,0.22,104.82,0,0.165,
57398,"Device Recall  Stryker Orthobiologics Aliquot Catheter, 6"", Part Number 21100503",Orthopedic Devices,0.597,medium,,2.72,5020.27,1,0.502,213.76
5408,microscan microbiology systems,Immunology and Microbiology Devices,0.552,high,21.77,,4334.39,1,0.538,212.06
21335,Device Recall  Accura System for Blood Filtration,Gastroenterology-Urology Devices,0.182,medium,,0.01,220.55,0,0.169,201.12
96113,Device Recall  Stryker 100 mL AutoFuser PainPump,General Hospital and Personal Use Devices,0.453,high,25.02,,2489.55,0,0.451,207.66
18100,Device Recall  Glidesheath Slender Hydrophilic Coated Introducer Sheath,Cardiovascular Devices,0.488,medium,33.51,1.14,4323.22,0,0.397,207.74
49630,Transhepatic Biliary Stent System,Gastroenterology-Urology Devices,0.345,medium,,0.31,1792.65,0,0.277,203.11
50112,nanoPOINT Injector System,Ophthalmic Devices,0.33,low,21.8,,1563.55,0,0.195,202.56
114467,SONY LMD-1951MD MONITORS,General and Plastic Surgery Devices,0.419,low,26.94,0.83,2065.85,0,0.259,
5865,CS100,Cardiovascular Devices,0.508,medium,33.73,1.42,4832.1,0,0.425,210.33
103462,SCORPIO NRG KNEE SYSTEM,Orthopedic Devices,0.058,high,,0.22,451.74,0,0.185,198.37
99065,Device Recall  Monaco Radiation Treatment Planning Workstation,Radiology Devices,0.23,medium,25.79,0.26,221.05,0,0.197,211.64
22042,Device Recall  Vaxcel Low Profile plastic port (nonvalved),General Hospital and Personal Use Devices,0.421,high,23.34,,2068.42,0,0.413,206.13
15710,Device Recall  AVEA  Comprehensive ventilator,Anesthesiology Devices,0.459,medium,24.2,,4341.38,0,0.391,209.75
97318,Device Recall  Stryker Eye Surgery Stretcher 1079,General Hospital and Personal Use Devices,0.314,high,22.18,,1890.79,0,0.355,206.31
102603,ConMed DetachaTip Laparoscopic Instrument,General and Plastic Surgery Devices,0.049,high,24.72,0.0,124.43,0,0.173,
60398,Device Recall  Customed,General and Plastic Surgery Devices,0.198,high,26.54,0.26,554.52,0,0.269,
15316,Device Recall  Curity XRay Detectable Laparotomy Sponges,General and Plastic Surgery Devices,0.337,high,27.24,0.51,1975.79,0,0.362,
59638,Device Recall  Fraxel Laser System,General and Plastic Surgery Devices,0.253,low,26.78,0.56,760.11,0,0.159,
99456,Device Recall  SYSTEM 1E liquid chemical sterilant processing system,General Hospital and Personal Use Devices,0.56,low,25.47,,4194.74,0,0.395,213.26
102342,"Stackhouse Lens/Hood, Mark III Universal",General Hospital and Personal Use Devices,0.352,low,21.88,,447.71,0,0.192,203.63
98236,Device Recall  CyberKnife Treatment Planning System,Radiology Devices,0.339,medium,27.02,0.86,3489.05,0,0.288,215.09
57460,Device Recall  UltraClean(R) Accessory Electrode 4 inch Coated Blade,General and Plastic Surgery Devices,0.631,high,31.81,1.58,5948.17,1,0.617,
101969,Proteus 235,Radiology Devices,0.118,medium,24.55,0.17,886.22,0,0.141,210.29
56333,Device Recall  adjustable drill stop,Orthopedic Devices,0.526,medium,,2.1,3356.42,0,0.43,210.92
102377,Stellant CT Injection System,Cardiovascular Devices,0.362,medium,31.99,0.48,2959.98,0,0.301,205.68
49979,MediChoice Umbilical cord clamp,Obstetrical and Gynecological Devices,0.24,low,26.1,,972.95,0,0.156,206.93
16909,Device Recall  Regard,General and Plastic Surgery Devices,0.81,high,37.18,2.52,9001.04,1,0.813,
60404,Device Recall  Customed,Obstetrical and Gynecological Devices,0.298,high,25.93,,1760.59,0,0.325,203.14
59245,Device Recall  Model Kodak 2100 Intraoral XRay System,Radiology Devices,0.401,high,28.54,1.21,4038.5,0,0.408,217.44
58770,Device Recall  Plum A Infusion Pump,General Hospital and Personal Use Devices,0.271,high,21.21,,636.39,0,0.308,205.07
98902,Device Recall  Cylindrical Reamer,Orthopedic Devices,0.393,high,,0.94,3276.29,0,0.405,207.29
57159,Device Recall  Stryker Howmedica Osteonics Corp.,Orthopedic Devices,0.665,high,,3.48,6910.48,1,0.653,218.55
96232,Device Recall  Vacora Plastic Radiolucent Coaxial,Cardiovascular Devices,0.262,low,32.46,0.35,2295.47,0,0.168,203.9
100585,Zimmer Universal Locking System,Orthopedic Devices,0.457,high,,2.05,4098.59,0,0.461,206.88
101937,Custom Tubing Pack with Bioline Coating,Cardiovascular Devices,0.27,medium,30.81,0.31,2324.16,0,0.239,204.05
103130,Premisa,Dental Devices,0.183,high,,-0.12,134.08,0,0.234,199.87
57780,Device Recall  Artis Systems with Software Artis VC20x/VC21A/VD10x,Radiology Devices,0.641,high,35.46,2.7,10770.36,1,0.631,226.44
54384,Coated VICRYL RAPIDE  (polyglactin 910) Braided Coated Synthetic Absorbable Suture,General and Plastic Surgery Devices,0.388,medium,28.06,0.58,2953.58,0,0.335,
20860,Device Recall  HideAPort Low Profile Balloon Gastrostomy Tube Kit,Gastroenterology-Urology Devices,0.114,high,,0.18,-102.58,0,0.212,201.32
21913,Device Recall  MMS,Anesthesiology Devices,0.194,medium,21.0,,948.04,0,0.193,202.58
13938,Device Recall  Major Laparotomy Pack,General and Plastic Surgery Devices,0.165,high,25.49,-0.03,569.51,0,0.235,
55367,Device Recall  Therapy Ablation Catheter,Cardiovascular Devices,0.189,medium,31.15,0.23,1231.28,0,0.195,203.2
58282,Device Recall  Oxford Fixed Bearing Partial Knee Replacement,Orthopedic Devices,0.463,high,,1.71,2849.21,0,0.453,208.98
52273,Retractor f/Sciatic Nerve Long,General and Plastic Surgery Devices,0.312,high,26.77,0.39,1401.78,0,0.336,
18621,"Device Recall  BD MAX"" UVE Specimen Collection Kit",Clinical Chemistry and Clinical Toxicology Devices,0.297,medium,17.88,,1500.6,0,0.267,204.58
50771,Winco Care Cliner Standard  Steel Casters,Physical Medicine Devices,0.251,medium,,0.19,485.61,0,0.22,204.43
17250,Device Recall  Olympus ENDOEYE HD II Video Telescopes,Obstetrical and Gynecological Devices,0.191,medium,26.39,,854.97,0,0.198,202.15
103984,Sternal Saw II Sterile Blades,General and Plastic Surgery Devices,0.872,high,38.01,3.17,10520.32,1,0.889,
113306,"Eclipse Treatment Planning System, (Radiation therapy treatment planning system), version 11Version 11 with PBC 11.0.21, 11.0.30",Radiology Devices,0.625,medium,34.98,2.39,9093.49,1,0.528,222.69
98786,Device Recall  ThermiSense model 5700A5,Anesthesiology Devices,0.231,medium,22.02,,610.43,0,0.215,202.85
109704,Jaundice Meter JM-103 + Jaundice Meter JM-105,Clinical Chemistry and Clinical Toxicology Devices,0.804,low,28.26,,10963.75,1,0.654,224.04
52079,Transfer/Gait Belt,Physical Medicine Devices,0.421,medium,,1.77,2562.87,0,0.369,207.8
53381,Volcano s5 Imaging System,Radiology Devices,0.414,medium,28.64,1.05,5576.81,0,0.348,217.29
17051,Device Recall  Shoulder Pack,General and Plastic Surgery Devices,0.503,high,29.29,1.11,3422.85,0,0.492,
51903,"JacksonPratt Hemaduct Silicone Round Drain, 19FR W/15FR Trocar. Sterile, Rx Only",General and Plastic Surgery Devices,0.085,medium,24.42,-0.23,954.51,0,0.128,
18521,Device Recall  TomoHD(R) System,Radiology Devices,0.608,medium,34.2,2.39,9630.02,1,0.522,223.62
93487,Device Recall  Possis AngioJet Rheolytic Thrombectomy SystemSpiroflex Catheter,Cardiovascular Devices,0.187,low,31.28,0.53,529.19,0,0.115,202.35
95909,Device Recall  OminDiagnost Eleva,Radiology Devices,0.36,high,28.88,0.67,3673.14,0,0.371,214.3
54627,"ARTISTE, ONCOR, MEVATRON, and PRIMUS Digital Linear Accelerators",Radiology Devices,0.37,low,28.23,0.84,3777.45,0,0.232,216.52
13927,"Device Recall  Tray, irrigation, sterile",General Hospital and Personal Use Devices,0.52,high,24.95,,3012.4,0,0.493,209.11
16002,Device Recall  Target Detachable Coils,Neurological Devices,0.115,high,25.56,0.06,1002.81,0,0.214,199.5
19175,Device Recall  ADVIA Centaur HBc IgM,Immunology and Microbiology Devices,0.381,high,17.73,,1438.53,0,0.378,205.79
97616,"Device Recall  Baxter Evacuated Container, 250 mL",General Hospital and Personal Use Devices,0.351,high,22.24,,1181.03,0,0.356,204.43
50493,Equate,Ophthalmic Devices,0.201,low,20.81,,595.13,0,0.112,201.61
13238,Device Recall  CareFusion Vital Signs LightWand Stylet,Anesthesiology Devices,0.028,medium,20.4,,1011.35,0,0.104,199.05
14224,Device Recall  KimVent TurboCleaning Closed Suction System for Adults,Anesthesiology Devices,0.463,medium,24.58,,2708.89,0,0.374,207.69
22434,Device Recall  My Lab,Radiology Devices,0.196,low,25.42,0.67,188.9,0,0.104,209.42
100646,Aeroneb Professional Nebulizer System,Anesthesiology Devices,0.352,low,21.74,,2500.73,0,0.214,205.66
100124,Stockert S5/Sorin C5 System,Cardiovascular Devices,0.372,high,31.08,0.74,3330.17,0,0.375,205.2
22078,"Depuy brand LCS Complete metal backed patella, porocoat, LRG; REF 1294-09-660.",Orthopedic Devices,0.439,high,,2.02,2344.68,0,0.431,205.81
96313,Device Recall  PIP FIXATION HINGE,Orthopedic Devices,0.267,high,,0.85,1632.45,0,0.316,203.47
22013,Device Recall  Regius,Radiology Devices,0.389,low,29.28,0.74,3756.53,0,0.248,218.03
88904,VOYAGER RX CORONARY DILATATION CATHETER,Cardiovascular Devices,0.655,medium,35.97,2.59,8292.69,1,0.577,218.85
116314,LUCAS 2 Chest Compression System,Cardiovascular Devices,0.243,high,30.08,0.52,1143.34,0,0.287,203.14
22949,Device Recall  LIFEPAK CR Plus,Cardiovascular Devices,0.684,medium,36.75,2.54,9064.77,1,0.597,217.97
56880,"Device Recall  KIT,DISPOSABLE ACCESSORY",General and Plastic Surgery Devices,0.297,high,27.22,0.27,1497.26,0,0.33,
94725,Device Recall  HerpeSelect 1 and 2 Immunoblot IgG Kit,Immunology and Microbiology Devices,0.536,low,19.07,,4342.8,0,0.356,210.95
14393,Device Recall  MYLA,Clinical Chemistry and Clinical Toxicology Devices,0.669,medium,24.0,,7145.4,1,0.576,216.13
94463,Device Recall  Baxa ExactaMix 600 Pharmacy compounding system,General Hospital and Personal Use Devices,0.461,medium,24.35,,2545.28,0,0.384,208.53
97557,Device Recall  UCG BetaSlide Monoclonal II,Clinical Chemistry and Clinical Toxicology Devices,0.355,low,17.1,,1897.38,0,0.213,205.18
