device_id,device_name,classification,age_fraction,manufacturer_risk_tier,temperature,vibration,hours_used,failed,true_failure_probability,voltage
53395,Merit Medical Surgical Convenience Kits,General and Plastic Surgery Devices,0.158,medium,25.57,0.22,104.82,0,0.165,
57398,"Device Recall  Stryker Orthobiologics Aliquot Catheter, 6"", Part Number 21100503",Orthopedic Devices,0.597,medium,,2.72,5020.27,1,0.502,213.76
5408,microscan microbiology systems,Immunology and Microbiology Devices,0.552,high,21.77,,4334.39,0,0.538,212.06
20961,Device Recall  STATCheck,Anesthesiology Devices,0.572,low,25.89,,6098.64,0,0.4,212.66
13981,"Device Recall  LEGGINGS W/7"" CUFF 30"" x 42""",General Hospital and Personal Use Devices,0.094,high,20.31,,-256.16,0,0.2,201.42
21832,Device Recall  Compumedics,Neurological Devices,0.109,low,25.41,-0.05,178.23,0,0.053,199.86
15098,Device Recall  Customed,Orthopedic Devices,0.263,high,,0.77,902.04,0,0.299,201.77
100136,Corometrics Qwik Connect Plus Spiral Electrode,Obstetrical and Gynecological Devices,0.233,medium,26.24,,885.56,0,0.223,204.25
20633,Candela Smoothbeam Laser System || Model Numbers: 9914-00-0820 || 9914-06-0820 || 9914-07-0820 || 9914-08-0820 || 9914-10-0820 || Units are the same except for color,General and Plastic Surgery Devices,0.084,medium,25.9,0.43,-288.95,0,0.142,
77316,cranial navigation system,Neurological Devices,0.082,medium,24.84,-0.15,493.19,0,0.12,199.32
60024,Device Recall  Ingenia 3.0T,Radiology Devices,0.493,high,31.15,1.63,5828.33,0,0.481,218.88
19213,Device Recall  PDS Plus Antibacterial monofilament syntheticabsorbable sutures,General and Plastic Surgery Devices,0.4,medium,27.0,0.59,2098.05,0,0.322,
97613,Device Recall  Implant Extraction Set  Implant Extraction Guide Module One & Two,Orthopedic Devices,0.623,high,,3.41,5459.14,1,0.604,214.53
93470,Device Recall  Practix 160,Radiology Devices,0.318,high,27.03,0.61,2332.03,0,0.337,214.62
59195,Device Recall  Xray System,Radiology Devices,0.447,high,29.41,1.34,6031.19,0,0.443,217.03
5640,aisys cs2,Anesthesiology Devices,0.645,medium,29.49,,7272.81,1,0.565,216.76
106965,"Brainlab Spine & Trauma 3D Navigation 1.0 (subpart of the system “Navigation Software Spine & Trauma 3D, Version 3.0”)",Neurological Devices,0.647,low,31.98,1.73,7368.29,0,0.474,213.8
59638,Device Recall  Fraxel Laser System,General and Plastic Surgery Devices,0.429,low,27.5,0.9,3638.5,0,0.288,
58565,Device Recall  Zimmer Unicompartmental Knee Femoral Component,Orthopedic Devices,0.328,high,,0.98,1721.89,0,0.35,204.65
50321,Arrow Percutaneous Sheath Introducer Kits,Cardiovascular Devices,0.357,high,32.41,0.72,2463.26,0,0.373,204.9
98236,Device Recall  CyberKnife Treatment Planning System,Radiology Devices,0.114,medium,24.48,0.25,943.41,0,0.143,211.02
57460,Device Recall  UltraClean(R) Accessory Electrode 4 inch Coated Blade,General and Plastic Surgery Devices,0.631,high,31.81,1.58,5948.17,1,0.617,
101969,Proteus 235,Radiology Devices,0.118,medium,24.55,0.17,886.22,0,0.141,210.29
100825,D&C; Laparoscopy Pack,Gastroenterology-Urology Devices,0.766,high,,2.84,7517.68,1,0.744,220.67
65638,Riata and Riata ST silicone endocardial leads,Cardiovascular Devices,0.281,low,31.66,0.4,2217.93,0,0.172,204.2
18228,"Device Recall  SMART PERFUSION PACK, LONG PACK",Cardiovascular Devices,0.403,medium,32.66,1.39,3923.07,0,0.355,207.17
16909,Device Recall  Regard,General and Plastic Surgery Devices,0.461,high,28.15,0.8,2803.88,1,0.445,
52936,CONTAK RENEWAL 4 AVT,Cardiovascular Devices,0.295,medium,31.36,0.33,1770.0,0,0.251,203.75
19519,Device Recall  Draco Enzymatic DeepCleaning Pad,Gastroenterology-Urology Devices,0.263,medium,,0.41,1229.7,0,0.232,201.97
95525,Device Recall  Zimmer Tivanium Self Tapping Screw,Orthopedic Devices,0.357,high,,0.9,2701.01,0,0.37,204.3
15749,Device Recall  da Vinci Xi Surgical System cannula seal,General and Plastic Surgery Devices,0.588,high,31.85,1.39,4585.25,1,0.576,
19695,Device Recall  Philips Brilliance Big Bore Radiology 728244,Radiology Devices,0.358,high,25.77,0.58,2264.66,0,0.349,214.82
63256,Bridge™ Occlusion Balloon,Cardiovascular Devices,0.289,low,31.51,0.44,1992.0,0,0.176,204.75
49376,Servos Ventilator Systems,Anesthesiology Devices,0.113,medium,20.52,,-34.25,0,0.136,200.38
52903,Blood Gas and CoOx Electrolyte & Metabolyte Analyzers.,Clinical Chemistry and Clinical Toxicology Devices,0.518,medium,20.87,,4986.87,0,0.448,211.87
103130,Premisa,Dental Devices,0.183,high,,-0.12,134.08,0,0.234,199.87
57780,Device Recall  Artis Systems with Software Artis VC20x/VC21A/VD10x,Radiology Devices,0.641,high,35.46,2.7,10770.36,1,0.631,226.44
54384,Coated VICRYL RAPIDE  (polyglactin 910) Braided Coated Synthetic Absorbable Suture,General and Plastic Surgery Devices,0.388,medium,28.06,0.58,2953.58,0,0.335,
20860,Device Recall  HideAPort Low Profile Balloon Gastrostomy Tube Kit,Gastroenterology-Urology Devices,0.114,high,,0.18,-102.58,0,0.212,201.32
21913,Device Recall  MMS,Anesthesiology Devices,0.194,medium,21.0,,948.04,0,0.193,202.58
13938,Device Recall  Major Laparotomy Pack,General and Plastic Surgery Devices,0.165,high,25.49,-0.03,569.51,0,0.235,
55367,Device Recall  Therapy Ablation Catheter,Cardiovascular Devices,0.189,medium,31.15,0.23,1231.28,0,0.195,203.2
17162,Device Recall  Regard,General and Plastic Surgery Devices,0.192,high,25.86,0.21,821.73,0,0.26,
52273,Retractor f/Sciatic Nerve Long,General and Plastic Surgery Devices,0.312,high,26.77,0.39,1401.78,0,0.336,
18621,"Device Recall  BD MAX"" UVE Specimen Collection Kit",Clinical Chemistry and Clinical Toxicology Devices,0.297,medium,17.88,,1500.6,0,0.267,204.58
23560,Device Recall  Welch Allyn PIC 50 Portable Monitor/Defibrillator,Immunology and Microbiology Devices,0.452,low,19.37,,2462.23,0,0.287,206.94
17250,Device Recall  Olympus ENDOEYE HD II Video Telescopes,Obstetrical and Gynecological Devices,0.242,medium,26.73,,1142.54,0,0.231,203.04
103984,Sternal Saw II Sterile Blades,General and Plastic Surgery Devices,0.872,high,38.01,3.17,10520.32,1,0.889,
113306,"Eclipse Treatment Planning System, (Radiation therapy treatment planning system), version 11Version 11 with PBC 11.0.21, 11.0.30",Radiology Devices,0.625,medium,34.98,2.39,9093.49,1,0.528,222.69
98786,Device Recall  ThermiSense model 5700A5,Anesthesiology Devices,0.231,medium,22.02,,610.43,0,0.215,202.85
109704,Jaundice Meter JM-103 + Jaundice Meter JM-105,Clinical Chemistry and Clinical Toxicology Devices,0.804,low,28.26,,10963.75,0,0.654,224.04
98130,Device Recall  Hydrophylic guidewire,Cardiovascular Devices,0.634,high,36.22,2.21,7653.42,1,0.611,212.96
49618,LifeShield Primary Plumset,General Hospital and Personal Use Devices,0.152,high,21.09,,-150.51,0,0.226,198.81
55333,Device Recall  Applied Medical Kii Optical Access System,General and Plastic Surgery Devices,0.039,medium,24.97,0.23,117.01,0,0.107,
57486,"Device Recall  Rehab Tough and Tilt (TNT), Rehab Recline and Mobility (RAM), Rehab Kidster (Kidster)",Physical Medicine Devices,0.102,low,,-0.36,-344.55,0,0.047,200.31
52781,Electrophysiology Imaging System,Radiology Devices,0.448,medium,29.32,1.34,6562.91,0,0.377,217.69
28906,"Pipeline Embolization Device (Pipeline Classic), Alligator Retrieval Device, Xcelerator Hydrophilic Guidewire, UltraFlow HPC Flow Directed Microcatheter, Marathon Flow Directed Microcatheter",Neurological Devices,0.405,medium,27.38,0.48,2818.29,0,0.328,206.33
84619,ULTRA 8 INTRA-AORTIC BALLOON - LIGHTWAVE SENSOR,Cardiovascular Devices,0.015,medium,29.91,-0.06,113.7,0,0.088,198.74
9362,Batteries used with Capnostream 20 and Capnostream 20p monitors,Anesthesiology Devices,0.089,low,19.97,,8.2,0,0.049,202.29
17542,"Device Recall  RENOVATION, THIN OSTEOTOME BLADE, 8 MM X 3 INCH",General and Plastic Surgery Devices,0.465,high,28.5,0.97,2663.64,0,0.455,
22836,"Device Recall  Clinical Chemistry Apolipoprotein A1, List Number 9D9220",Immunology and Microbiology Devices,0.52,medium,20.02,,4458.23,0,0.445,212.86
96320,Device Recall  SpheRx Posted Pedicle Screw System,Orthopedic Devices,0.556,medium,,1.99,4955.91,0,0.468,213.64
22736,Device Recall  LifeCare PCA3,General Hospital and Personal Use Devices,0.27,medium,21.35,,424.18,0,0.225,202.18
41256,Maquet / Datascope CS100i and others,Cardiovascular Devices,0.405,low,32.48,0.69,3245.42,0,0.254,206.88
51492,FemTouch delivery system,General and Plastic Surgery Devices,0.323,low,26.92,0.63,1979.8,0,0.207,
99706,GE SENOGRAPHE ESSENTIAL FULL FIELD MAMMOGRAPHY SYSTEM,Radiology Devices,0.331,high,25.68,0.7,3217.53,0,0.339,213.3
57758,Device Recall  Archer Super Stiff Guidewire,Cardiovascular Devices,0.039,medium,29.15,0.1,1464.19,0,0.108,198.85
55607,Device Recall  ZMR Trabecular Metal,Orthopedic Devices,0.253,high,,0.53,892.2,0,0.293,202.67
18379,Device Recall  Napsin A (MRQ60 Mab) CM,Hematology and Pathology Devices,0.415,medium,18.18,,2881.83,0,0.348,207.45
54589,Gemstar Pump Set,General Hospital and Personal Use Devices,0.088,high,19.91,,-711.02,0,0.189,199.49
59165,"Device Recall  6.5"" (16.5 cm) Appx 0.30 ml, Smallbore Pressure Infusion (400psig)",General Hospital and Personal Use Devices,0.875,high,34.86,,9274.12,1,0.886,230.69
96790,Device Recall  Merit Medical,General and Plastic Surgery Devices,0.2,low,25.47,0.24,1511.9,0,0.119,
102820,"Medtronic Sofamor Danek, Satellite System Sphere PEEK",Orthopedic Devices,0.447,medium,,1.59,2819.55,0,0.378,210.22
99084,Device Recall  Infusion Administration Set,General Hospital and Personal Use Devices,0.474,medium,23.9,,2495.42,0,0.385,208.47
58239,Device Recall  GE Centricity PACS,Radiology Devices,0.41,medium,30.08,1.07,4441.87,0,0.346,216.58
13203,Device Recall  Sony Medical Monitor LMD1951MD 19 inch,General and Plastic Surgery Devices,0.768,low,34.9,2.31,8538.16,0,0.611,
3754,Halyard KimVent Subglottic Suctioning Endotracheal Tubes,Anesthesiology Devices,0.395,low,23.92,,2859.21,0,0.255,206.45
